mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
50285,On Air Dekinai!,2022,Manga,Comedy,12,2960,1102,Q1 малые,0.3723,0.1037,0.0037,0.6096,0.1356,Остальные,Дебют
60108,One Piece: Gyojin Tou-hen,2024,Manga,Action,21,37520,24692,Q2,0.658,0.3569,0.0042,0.7989,0.4211,Остальные,Дебют
56838,"One Room, Hiatari Futsuu, Tenshi-tsuki.",2024,Manga,Comedy,12,83018,58885,Q2,0.7088,0.4806,0.0046,0.8346,0.5919,Остальные,Дебют
41364,One Room: Third Season,2020,Original,Slice of Life,12,38081,22893,Q2,0.6011,0.4978,0.0016,0.914,0.3276,Остальные,Продолжение
51678,Oniichan wa Oshimai!,2023,Manga,Comedy,12,177521,131069,Q3,0.7381,0.5371,0.0144,0.8507,0.8005,Флагманы,Дебют
50955,Onipan!,2022,Original,Comedy,60,17114,9198,Q1 малые,0.5373,0.2705,0.0025,0.7833,0.1353,Остальные,Дебют
61150,Onmyou Kaiten Re:Birth,2025,Original,Action,12,23278,15569,Q1 малые,0.666,0.2658,0.0015,0.7252,0.2361,Остальные,Дебют
55194,Ooi! Tonbo,2024,Manga,Drama,13,14077,9033,Q1 малые,0.6412,0.3927,0.0029,0.77,0.3476,Остальные,Дебют
59175,Ooi! Tonbo 2nd Season,2024,Manga,Drama,13,5957,4343,Q1 малые,0.7292,0.5712,0.0027,0.8801,0.5528,Надёжный просмотр,Продолжение
51122,Ookami to Koushinryou: Merchant Meets the Wise Wolf,2024,Light novel,Adventure,25,246627,157250,Q3,0.6374,0.3101,0.0081,0.7873,0.4802,Нишевые любимчики,Дебют
50864,Ooyukiumi no Kaina,2023,Original,Adventure,11,53532,29065,Q2,0.5429,0.3392,0.0032,0.7913,0.2243,Остальные,Дебют
51415,Opus.COLORs,2023,Original,Sci-Fi,12,10224,4744,Q1 малые,0.464,0.2005,0.0043,0.6125,0.1956,Остальные,Дебют
41899,Ore dake Haireru Kakushi Dungeon,2021,Light novel,Action,12,426283,357114,Q4 крупные,0.8377,0.6662,0.0042,0.9045,0.7708,Надёжный просмотр,Дебют
52299,Ore dake Level Up na Ken,2024,Web manga,Action,12,1032903,905412,Q4 крупные,0.8762,0.7486,0.0185,0.9521,0.9803,Флагманы,Дебют
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,2025,Web manga,Action,13,669433,600663,Q4 крупные,0.8961,0.703,0.0159,0.9586,0.967,Флагманы,Продолжение
60154,Ore wa Seikan Kokka no Akutoku Ryoushu!,2025,Light novel,Action,12,77585,57474,Q2,0.7408,0.5343,0.0035,0.8679,0.5928,Надёжный просмотр,Дебют
57058,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",2024,Light novel,Action,12,196453,166200,Q3,0.8458,0.6308,0.0034,0.9137,0.7094,Надёжный просмотр,Дебют
48252,"Ore, Tsushima",2021,Manga,Comedy,12,20277,13845,Q1 малые,0.6827,0.4462,0.0085,0.8599,0.6509,Нишевые любимчики,Дебют
45560,Orient,2022,Manga,Action,12,125838,88946,Q3,0.7065,0.444,0.0042,0.7685,0.5368,Остальные,Дебют
51368,Orient: Awajishima Gekitou-hen,2022,Manga,Action,12,62575,45108,Q2,0.7206,0.5543,0.0042,0.9025,0.6343,Надёжный просмотр,Продолжение
55129,Oroka na Tenshi wa Akuma to Odoru,2024,Manga,Comedy,12,138121,96230,Q3,0.6962,0.4575,0.0032,0.7893,0.4781,Остальные,Дебют
43007,Osananajimi ga Zettai ni Makenai Love Comedy,2021,Light novel,Comedy,12,286536,210562,Q4 крупные,0.7348,0.4875,0.0058,0.8631,0.6788,Флагманы,Дебют
37890,Oshi ga Budoukan Ittekuretara Shinu,2020,Manga,Comedy,12,49532,31954,Q2,0.645,0.4885,0.007,0.8599,0.614,Нишевые любимчики,Дебют
42391,Osomatsu-san 3rd Season,2020,Manga,Comedy,25,24987,15654,Q1 малые,0.6264,0.4115,0.0048,0.8756,0.4559,Остальные,Продолжение
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,2020,Light novel,Comedy,12,495999,399240,Q4 крупные,0.8048,0.6747,0.0064,0.9311,0.8435,Флагманы,Дебют
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,2021,Light novel,Comedy,12,266215,195596,Q4 крупные,0.7347,0.5644,0.0042,0.8968,0.65,Надёжный просмотр,Продолжение
50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu,2022,Light novel,Action,12,362851,304413,Q4 крупные,0.839,0.7059,0.0064,0.9267,0.8738,Флагманы,Дебют
51705,Otonari ni Ginga,2023,Manga,Romance,12,173586,118049,Q3,0.6798,0.4542,0.0037,0.8351,0.4974,Остальные,Дебют
50739,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,2023,Light novel,Romance,12,398920,315178,Q4 крупные,0.7898,0.6591,0.0167,0.9196,0.9046,Флагманы,Дебют
40834,Ousama Ranking,2021,Web manga,Adventure,23,726992,571401,Q4 крупные,0.7859,0.5806,0.0186,0.9313,0.8668,Флагманы,Дебют
52657,Ousama Ranking: Yuuki no Takarabako,2023,Web manga,Adventure,10,156316,86399,Q3,0.5526,0.3454,0.0041,0.7658,0.2925,Остальные,Продолжение
48895,Overlord IV,2022,Light novel,Action,13,608619,479377,Q4 крупные,0.7875,0.6866,0.0121,0.951,0.9001,Флагманы,Продолжение
