mal_id,episode,retention,title,segment,source,title_type
42351,1,0.9503,Senpai ga Uzai Kouhai no Hanashi,Надёжный просмотр,Web manga,Дебют
42361,1,0.9645,"Ijiranaide, Nagatoro-san",Флагманы,Web manga,Дебют
42385,1,0.8951,The iDOLM@STER Million Live!,Остальные,Game,Продолжение
42395,1,0.9486,Shakunetsu Kabaddi,Нишевые любимчики,Web manga,Дебют
42506,1,0.8656,World Witches Hasshin Shimasu!,Остальные,Original,Дебют
42516,1,0.8819,Cardfight!! Vanguard: overDress,Остальные,Original,Дебют
42544,1,0.9181,Kaizoku Oujo,Нишевые любимчики,Original,Дебют
42568,1,0.9273,Yaku nara Mug Cup mo,Остальные,Manga,Дебют
42571,1,0.9281,Dogeza de Tanondemita,Остальные,Web manga,Дебют
42587,1,0.9088,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,Нишевые любимчики,Original,Продолжение
42590,1,0.9453,Mashiro no Oto,Остальные,Manga,Дебют
42627,1,0.9219,Peach Boy Riverside,Остальные,Manga,Дебют
42657,1,0.841,Himitsukessha Taka no Tsume: Golden Spell,Остальные,Original,Дебют
42670,1,0.9373,Princess Connect! Re:Dive Season 2,Нишевые любимчики,Game,Продолжение
42745,1,0.9369,Machikado Mazoku: 2-choume,Остальные,4-koma manga,Продолжение
42822,1,0.927,Kai Byoui Ramune,Остальные,Manga,Дебют
42826,1,0.9458,Seijo no Maryoku wa Bannou desu,Надёжный просмотр,Light novel,Дебют
42883,1,0.948,Sore dake ga Neck,Надёжный просмотр,Original,Дебют
42923,1,0.9584,SK∞,Флагманы,Original,Дебют
42959,1,0.9346,Yatogame-chan Kansatsu Nikki Sansatsume,Остальные,4-koma manga,Продолжение
42963,1,0.9457,"Kanojo, Okarishimasu 2nd Season",Нишевые любимчики,Manga,Продолжение
42994,1,0.9154,Jashin-chan Dropkick X,Остальные,Web manga,Продолжение
43007,1,0.936,Osananajimi ga Zettai ni Makenai Love Comedy,Флагманы,Light novel,Дебют
